,PID,smiles1,value_COE
208,P020153,[*]C(F)(F)C([*])(F)c1ccccc1,20.68136848
4794,P370310,[*]OC(F)(F)C(F)(F)C([*])(F)F,32.1758
4246,P342154,[*]CC([*])(C)C(=O)OCC1COC(c2ccccc2)O1,37.66177868
6459,P380066,[*]c1cc(CCCCCC)c([*])s1,40.10078849
432,P040031,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,40.41104489
1200,P070631,[*]ON(C(F)(F)F)C(F)(F)C([*])(F)F,40.41104489
677,P050006,[*]C([*])(F)F,40.41104489
2,P010003,[*]CC([*])CC,43.57936646
430,P040028,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,46.86724733
116,P020046,[*]CC([*])c1ccc(C(C)(C)C)cc1,49.23990172
455,P040055,[*]CC([*])(C)C(=O)OC(C)(C)C,51.32023362
453,P040053,[*]CC([*])(C)C(=O)OC(C)CC,51.67114018
454,P040054,[*]CC([*])(C)C(=O)OCC(C)C,51.67114018
6455,P380060,[*]c1cc(CCCCCCCCCCCC)c([*])s1,51.67114018
6505,P380140,[*]c1cc(CCCC)c([*])s1,54.16096269
29,P010040,[*]CC([*])CCCCCC,55.24596338
721,P060017,[*]CC([*])C=C,61.21436385
776,P070057,[*]CC(C)(C)CO[*],61.21436385
461,P040063,[*]CC([*])(C)C(=O)OCCCCCCCCCCCCCCCCCC,61.21436385
1085,P070504,[*]CC(CC)(CC)CO[*],61.21436385
12,P010014,[*]CC([*])(C)C,62.7542877
783,P070065,[*]CCCCCCO[*],63.53142317
245,P030019,[*]CC([*])OCC,63.9217843
0,P010001,[*]C[*],64.31334102
678,P050007,[*]C(F)(F)C([*])(F)Cl,65.10004125
4487,P360014,[*]C=C([*])C(C)(C)C,65.49518475
3998,P340030,[*]CC([*])(CC(=O)OCCCCCCCCCC)C(=O)OCCCCCCCCCC,65.89152384
603,P040272,[*]CC([*])(CC(=O)OCCCC1CCCCC1)C(=O)OCCCC1CCCCC1,65.89152384
742,P070014,[*]CC(C)O[*],67.08771468
3985,P340017,[*]CC([*])(CC(=O)OCCCCCCCC)C(=O)OCCCCCCCC,67.48883615
374,P030177,[*]CC([*])(CC(=O)OCCCCCCC)C(=O)OCCCCCCC,68.29466586
55,P010081,[*]C=CCCCCCC[*],68.29466586
457,P040059,[*]CC([*])(C)C(=O)OCCCCCCCC,69.10527795
46,P010070,[*]C=CCC[*],69.10527795
614,P040289,[*]CC([*])(C)C(=O)OC1CCC(C(C)(C)C)CC1,69.10527795
244,P030018,[*]CC([*])OC,69.10527795
458,P040060,[*]CC([*])(C)C(=O)OCCCCCCCCCCCC,69.10527795
422,P040020,[*]CC([*])C(=O)OC1CC2CCC1(C)C2(C)C,69.10527795
616,P040291,[*]CC([*])(C)C(=O)OCC(C)(C)C,69.10527795
512,P040155,[*]CC([*])(C)C(=O)OC1CC2CCC1(C)C2(C)C,69.10527795
714,P060001,[*]CCC=C([*])C,69.10527795
1,P010002,[*]CC([*])C,70.33016302
235,P030004,[*]CC([*])OC(=O)CCCCCCCCCCCCCCC,70.74084923
602,P040271,[*]CC([*])(CC(=O)OCCC1CCCCC1)C(=O)OCCC1CCCCC1,70.74084923
627,P040310,[*]CC([*])(CC(=O)OCCCCCC)C(=O)OCCCCCC,71.56580843
234,P030003,[*]CC([*])OC(=O)CCCCCCCCCCC,71.56580843
381,P030184,[*]CC([*])OC(=O)CCCCCCCCC,72.39555
129,P020061,[*]CC([*])c1ccc(Cl)cc1,73.23007395
782,P070064,[*]CCCCO[*],73.23007395
3570,P310015,[*]CCCC([*])C,74.02730137
626,P040308,[*]CC([*])(CC(=O)OCCCCC)C(=O)OCCCCC,74.91346895
6,P010008,[*]CC([*])CC(C)C,75.25244349
367,P030162,[*]CC([*])OC(=O)CCCCCCC,75.76234001
8049,P402178,[*]CCCC(C)CNC(=O)CCCCCCCCCCC(=O)N[*],76.61599345
452,P040052,[*]CC([*])(C)C(=O)OCCCC,76.61599345
3573,P312003,[*]CCCC([*])CC,76.74445394
450,P040050,[*]CC([*])(C)C(=O)OCCC,77.47442925
589,P040254,[*]CC([*])(C)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,77.47442925
679,P050013,[*]CCC=C([*])Cl,77.47442925
409,P040006,[*]CC([*])C(=O)OCCCC,77.47442925
456,P040056,[*]CC([*])(C)C(=O)OCCCCCC,77.47442925
382,P030185,[*]CC([*])OC(=O)CCCCC,77.47442925
2162,P100024,[*]CCCCCCCCCCC(=O)N[*],77.47442925
536,P040187,[*]CC([*])C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,77.47442925
564,P040217,[*]CC([*])C(=O)N(C)C,78.33764743
594,P040263,[*]CC([*])(CC(=O)OCCCC)C(=O)OCCCC,79.20564798
607,P040276,[*]CC([*])(CC(=O)OCCCc1ccccc1)C(=O)OCCCc1ccccc1,79.64144165
449,P040049,[*]CC([*])(C)C(=O)OCC,80.0784309
76,P020001,[*]CC([*])c1ccccc1,80.0784309
628,P040314,[*]CC([*])(CC(=O)OCCC)C(=O)OCCC,80.0784309
606,P040275,[*]CC([*])(CC(=O)OCCc1ccccc1)C(=O)OCCc1ccccc1,80.51661575
366,P030161,[*]CC([*])OC(=O)CCC,80.9559962
5690,P372566,[*]OC1C(COC)OC([*])C(OC)C1OC,80.9559962
593,P040262,[*]CC([*])(CC(=O)OCC)C(=O)OCC,81.83834386
792,P070076,[*]Oc1c(C)cc([*])cc1C,81.83834386
407,P040004,[*]CC([*])C(=O)OCCC,81.83834386
251,P030025,[*]CC([*])OC(=O)CC,81.83834386
206,P020151,[*]CC([*])(C)c1ccccc1,81.83834386
486,P040103,[*]CC([*])(C)C(=O)OCCOCC,81.83834386
630,P040316,[*]CC([*])(CC(=O)Oc1cccc(C)c1)C(=O)Oc1cccc(C)c1,82.7254739
629,P040315,[*]CC([*])(CC(=O)Oc1ccccc1C)C(=O)Oc1ccccc1C,82.7254739
605,P040274,[*]CC([*])(CC(=O)OCc1ccccc1)C(=O)OCc1ccccc1,82.7254739
365,P030160,[*]C=C([*])c1ccccc1,83.61738631
3774,P330093,[*]C=C([*])c1cccc(C#C)c1,83.61738631
631,P040317,[*]CC([*])(CC(=O)Oc1ccc(C)cc1)C(=O)Oc1ccc(C)cc1,83.61738631
624,P040305,[*]CC([*])(C)C(=O)Oc1ccc(C)cc1,84.5140811
4065,P340103,[*]CC([*])(C)C(=O)Oc1cccc(C)c1C,84.5140811
242,P030014,[*]CC([*])c1ccccn1,84.96422188
4064,P340102,[*]CC([*])(C)C(=O)Oc1c(C)cccc1C,85.41555825
504,P040143,[*]CC([*])(C)C(=O)Oc1cccc(C)c1,86.32181778
790,P070074,[*]Oc1ccc([*])cc1,86.32181778
5621,P372454,[*]CCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(O[*])cc3)c(OCCCCC)c2)cc1,86.32181778
801,P070090,[*]CCCCOCO[*],86.32181778
4953,P370496,[*]CCOCCOCCOCCOC(=O)c1ccc(-c2ccc(C(=O)O[*])cc2)cc1,86.32181778
750,P070022,[*]CC(C)(C)O[*],86.32181778
748,P070020,[*]CC(C=C)O[*],86.32181778
2063,P090610,[*]OC(C)COC(=O)c1ccc(C([*])=O)cc1,86.32181778
1793,P090288,[*]OC(C)COC(=O)c1cccc(C([*])=O)c1,86.32181778
4771,P370285,[*]CCSSCCSSCCOCO[*],86.32181778
996,P070394,[*]CC1CC([*])OC(CCC)O1,86.32181778
468,P040072,[*]CC([*])(C)C(=O)Oc1ccccc1C,86.32181778
406,P040003,[*]CC([*])C(=O)OCC,86.32181778
600,P040269,[*]CC([*])(CC(=O)OC1CCCCC1)C(=O)OC1CCCCC1,86.32181778
217,P020189,[*]CC([*])c1ccc2ccccc2c1,86.32181778
1109,P070533,[*]CCOCCOCCOC(=O)c1ccc(-c2ccc(C(=O)O[*])cc2)cc1,86.32181778
3610,P320020,[*]CC([*])(C)c1ccc2ccccc2c1,86.32181778
2163,P100025,[*]CCCCCCCCCCCC(=O)N[*],86.32181778
7009,P390245,[*]CC(C)(CC)COC(=O)c1ccc(C(=O)O[*])cc1,86.32181778
633,P040321,[*]CCC(C(=O)OCC)C([*])C(=O)OCC,86.32181778
1142,P070567,[*]CCOCCOC(=O)c1ccc(-c2ccc(C(=O)O[*])cc2)cc1,86.32181778
2160,P100022,[*]CCCCCCCCCC(=O)N[*],86.32181778
617,P040292,[*]CC([*])(C)C(=O)Oc1ccc(C(C)(C)C)cc1,86.32181778
2055,P090598,[*]OC(C)COC(=O)c1ccccc1C([*])=O,86.32181778
2040,P090577,[*]Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)c3ccc(C([*])=O)cc3)c(C)c2)cc1C,86.32181778
604,P040273,[*]CC([*])(CC(=O)Oc1ccccc1)C(=O)Oc1ccccc1,86.77674093
9021,P432244,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(C(C)(C)CCCCCCCCC([*])(C)C)cc5C4=O)cc3)cc1)C2=O,87.23285968
775,P070056,[*]CCCO[*],87.23285968
105,P020032,[*]CC([*])c1ccccc1Cl,87.23285968
601,P040270,[*]CC([*])(CC(=O)OCC1CCCCC1)C(=O)OCC1CCCCC1,87.23285968
250,P030024,[*]CC([*])OC(C)=O,87.23285968
467,P040071,[*]CC([*])(C)C(=O)Oc1ccccc1,88.14868395
448,P040048,[*]CC([*])(C)C(=O)OC,88.14868395
1696,P090176,[*]OC(C)C([*])=O,88.14868395
2003,P090530,[*]Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)c3cccc(C([*])=O)c3)c(C)c2)cc1C,89.06929059
4289,P342241,[*]CC([*])(C)C(=O)OCC(O)C1CC(C)(c2ccccc2)C1,89.06929059
740,P070012,[*]OC([*])CCC(=O)OC,89.53138731
686,P050020,[*]CC([*])Br,90.924851
1625,P090089,[*]CCCCCC(=O)O[*],91.76609418
4106,P340159,[*]CC([*])(C)C(=O)OCCCCl,91.85980476
618,P040294,[*]CC([*])(CC(=O)OC)C(=O)OC,91.85980476
567,P040220,[*]CC([*])C(=O)NC(C)(C)C,93.36567811
1573,P090009,[*]CCOC(=O)CCCCC(=O)O[*],93.7440594
1615,P090062,[*]Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C([*])=O)cc3)c(C)c2)cc1C,93.7440594
673,P050002,[*]CC([*])Cl,94.69336027
1658,P090134,[*]CCCOC(=O)c1ccc(C(=O)O[*])cc1,95.64744352
3259,P150011,[*]Oc1ccc(C(C)(C)c2ccc(OC([*])=O)cc2)cc1,95.64744352
826,P070141,[*]OC(C)COCC(C)OC(=O)c1ccccc1C([*])=O,95.64744352
3773,P330092,[*]C=C([*])c1ccc(C#C)cc1,95.64744352
802,P070091,[*]CCCCCOCO[*],95.64744352
741,P070013,[*]CCO[*],95.64744352
10125,P450064,[*]CCCOC(=O)O[*],95.64744352
4290,P342242,[*]CC([*])(C)C(=O)OCC(=O)c1ccccc1,95.64744352
4358,P342414,[*]CC([*])(C)C(=O)OCC(=O)N1CCCC1,95.64744352
2153,P100014,[*]CCCCCCCC(=O)N[*],95.64744352
2158,P100019,[*]CCCCCCCCC(=O)N[*],95.64744352
7282,P392180,[*]c1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(C4([*])OC(=O)c5ccccc54)cc3C)cc2)c(C)c1,96.60630914
4005,P340037,[*]CC([*])C(=O)NC(C)(C)CC(C)=O,96.60630914
8581,P430251,[*]C(=O)Nc1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,96.60630914
2002,P090529,[*]Oc1ccc(C(C)(C)c2ccc(OC(=O)c3cccc(C([*])=O)c3)c(C)c2)cc1C,98.5383875
1600,P090039,[*]Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C([*])=O)cc3)cc2)cc1,99.51160024
4104,P340157,[*]CC([*])C(=O)OCCN(CC)CC,100.4895954
2144,P100005,[*]CCCCCCNC(=O)CCCCC(=O)N[*],100.4895954
1592,P090029,[*]CCCCOC(=O)c1ccc(C(=O)O[*])cc1,100.4895954
800,P070089,[*]CCOCO[*],100.9803863
405,P040002,[*]CC([*])C(=O)OC,102.1631626
2150,P100011,[*]CCCCCCC(=O)N[*],102.4599327
491,P040116,[*]CC([*])(Cl)C(=O)OC,102.4599327
1617,P090065,[*]c1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(C4([*])OC(=O)c5ccccc54)cc3)cc2)cc1,102.7571332
1417,P080012,[*]CCCS[*],103.4522749
3163,P130333,[*]C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc2)cc1,103.4522749
672,P050001,[*]CC([*])F,103.9502394
1239,P070678,[*]Oc1ccc(C(=O)c2cccc(C(=O)c3ccc([*])cc3)c2)cc1,105.4513065
1602,P090041,[*]Oc1ccc(C(C)(C)c2ccc(OC(=O)c3cccc(C([*])=O)c3)cc2)cc1,105.7528111
4023,P340058,[*]CC([*])(C)C(=O)NC(C)C,106.2562754
3624,P320051,[*]CC([*])(OC(C)=O)c1ccc(OC(=O)CC)cc1,106.4579958
3625,P320052,[*]CC([*])(OC(C)=O)c1ccc(OC(=O)CCC)cc1,106.4579958
7927,P400385,[*]CCCCCCCCCCCCNC(=O)c1cccc(C(=O)N[*])c1,106.4579958
1590,P090027,[*]CCOC(=O)c1ccc(C(=O)O[*])cc1,106.5084558
4099,P340152,[*]CC([*])C(=O)NCC(C)C,106.6599076
565,P040218,[*]CC([*])C(=O)NCCCC,106.6599076
9020,P432243,[*]c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccc(C(C)(C)CCCCC([*])(C)C)cc5C4=O)cc3)cc1)C2=O,106.8620106
4103,P340156,[*]CC([*])C(=O)NCCO,107.2667906
3622,P320049,[*]CC([*])(OC(C)=O)c1ccc(OC(C)=O)cc1,107.3681052
3135,P130251,[*]C(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc2)cc1,107.4694675
3623,P320050,[*]CC([*])(OC(C)=O)c1ccc(OC(=O)OC)cc1,107.8753953
3168,P130339,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(C(C)(C)CCCCC([*])(C)C)cc5C4=O)cc3)cc1)C2=O,108.2820882
731,P070001,[*]CO[*],108.4857216
496,P040128,[*]CC([*])C(=O)NC(C)C,108.8935623
