SN,Polymer_SMILES,Dopant_SMILES,log10 of electrical_conductivity (S/cm)
1,*C=C*,O=S(=O)(O)O,3.428666249
2,*C=C*,II,2.953605565
3,*C=C*,[Cu+2].[O-][Cl+3]([O-])([O-])[O-].[O-][Cl+3]([O-])([O-])[O-],2.938416529
4,*c1cc(CCCCCC)c(*)s1,FC(F)(F)C1=C(C(F)(F)F)S[Mo]23(S1)(SC(C(F)(F)F)=C(C(F)(F)F)S2)SC(C(F)(F)F)=C(C(F)(F)F)S3,2.658119658
5,*c1ccc(C2=C3C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C(c4ccc(-c5ccc(-c6ccc(*)s6)s5)s4)=C3C(=O)N2CC(CCCCCCCC)CCCCCCCCCC)s1,FC(F)(F)C1=C(C(F)(F)F)S[Mo]23(S1)(SC(C(F)(F)F)=C(C(F)(F)F)S2)SC(C(F)(F)F)=C(C(F)(F)F)S3,2.496402878
6,*c1cc(CCCCCC)c(*)s1,O=C(OC(F)(F)F)C1=C(C(F)(F)F)S[Mo]23(S1)(SC(C(=O)OC(F)(F)F)=C(C(F)(F)F)S2)SC(C(=O)OC(F)(F)F)=C(C(F)(F)F)S3,2.327635328
7,*/C=C/c1cc(OC)c(*)cc1OC,II,2.307496038
8,*/C=C/C(=C(C)C)C(*)=C(C)C,II,2.301029996
9,*C=C*,[O-][Cl+3]([O-])([O-])O,2.172887177
10,*c1cc(CCCCCCCCCCCCCCCC)c(-c2cc3sc(-c4sc(*)cc4CCCCCCCCCCCCCCCC)cc3s2)s1,O=C(C1=C(C(F)(F)F)S[Mo]23(S1)(SC(C(=O)C(F)(F)F)=C(C(F)(F)F)S2)SC(C(=O)C(F)(F)F)=C(C(F)(F)F)S3)C(F)(F)F,2.165694862
11,*c1ccc(-c2cc(OCCOCCOCCOCCO)c(-c3sc(*)cc3OCCOCCOCCOCCO)s2)s1,O=S(=O)(O)CCCS(=O)(=O)O,2.123348018
12,*c1ccc(-c2cc(OCCOCCOCCOCCO)c(-c3sc(*)cc3OCCOCCOCCOCCO)s2)s1,N#CC(C#N)=c1c(F)c(F)c(=C(C#N)C#N)c(F)c1F,2.097744361
13,*c1ccc(-c2cc(OCCOCCOCCOCCO)c(-c3sc(*)cc3OCCOCCOCCOCCO)s2)s1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,2.070484582
14,*c1ccc(-c2cc(OCCOCCOCCOCCO)c(-c3sc(*)cc3OCCOCCOCCOCCO)s2)s1,CCCCCCCCCCCCc1ccc(S(=O)(=O)O)cc1,2.035242291
15,*c1cc(CCCCCCCCCCCCCCCC)c(-c2cc3sc(-c4sc(*)cc4CCCCCCCCCCCCCCCC)cc3s2)s1,FC(F)(F)C1=C(C(F)(F)F)S[Mo]23(S1)(SC(C(F)(F)F)=C(C(F)(F)F)S2)SC(C(F)(F)F)=C(C(F)(F)F)S3,1.958127267
16,*c1cc(CCCCCCCC)c(*)s1,CCCC[N+](CCCC)(CCCC)CCCC,1.954242509
17,*C=C*,Cl[Fe](Cl)Cl,1.91947547
18,*c1ccc(-c2cc(OCCOCCOCCOCCO)c(-c3sc(*)cc3OCCOCCOCCOCCO)s2)s1,Cc1ccc(S(=O)(=O)O)cc1,1.9030837
19,*c1ccc(-c2cc(OCCOCCOCCOCCO)c(-c3sc(*)cc3OCCOCCOCCOCCO)s2)s1,CCc1ccc(S(=O)(=O)O)cc1,1.876651982
20,*c1ccc(-c2cc(OCCCCCCCCCCCC)c(-c3ccc(-c4sc(*)c5ccccc45)s3)cc2OCCCCCCCCCCCC)s1,II,1.873603468
21,*c1ccc(*)[nH]1,O=S(=O)(O)c1ccc2cc(S(=O)(=O)O)ccc2c1,1.86923172
22,*c1ccc(*)[nH]1,O=S(=O)(O)c1ccc(/N=N/c2ccc(O)cc2)cc1,1.846955325
23,*c1cc(CCCCCCCCCC)c(*)[nH]1,F[B-](F)(F)F.[H+],1.799340549
24,*c1ccc(C2=C3C(=O)N(CCCC(CCCCCCCCCC)CCCCCCCCCC)C(c4ccc(-c5cc6sc(*)cc6s5)s4)=C3C(=O)N2CCCC(CCCCCCCCCC)CCCCCCCCCC)s1,FC(F)(F)C1=C(C(F)(F)F)S[Mo]23(S1)(SC(C(F)(F)F)=C(C(F)(F)F)S2)SC(C(F)(F)F)=C(C(F)(F)F)S3,1.661870504
25,*c1ccc(-c2cc(OCCOCCOCCOCCO)c(-c3sc(*)cc3OCCOCCOCCOCCO)s2)s1,N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O,1.657894737
26,*/C=C/c1cc(OCC)c(*)cc1OCC,II,1.633468456
27,*C=Cc1ccc(*)cc1,O=S(=O)(O)O,1.586438593
28,*c1ccc(-c2ccc(-c3sc(*)c(CCCCCCCCCCCC)c3CCCCCCCCCCCC)s2)s1,[O-][Cl+3]([O-])([O-])O,1.51851394
29,*c1ccc(*)[nH]1,CC[N+](CC)(CC)CC.F[B-](F)(F)F,1.477121255
30,*c1cc(C)c(*)s1,[Li+].[O-][Cl+3]([O-])([O-])[O-],1.431957008
31,*c1cc(CCCCCCCCCCCCCC)c(*)s1,II,1.342422681
32,*c1cc(OCCOCCOCCOCCO)c(-c2sc(-c3cc4sc(*)cc4s3)cc2OCCOCCOCCOCCO)s1,N#CC(C#N)=c1c(F)c(F)c(=C(C#N)C#N)c(F)c1F,1.335918083
33,*c1ccc(-c2sc(-c3cc(CCCCCCCCCCCC)c(*)s3)cc2CCCCCCCCCCCC)s1,[O-][Cl+3]([O-])([O-])O,1.322219295
34,*c1cc(CCCCCCCCCC)c(*)[nH]1,[O-][Cl+3]([O-])([O-])O,1.322219295
35,*/C=C/c1sc(/C=C/c2cc(CCCCCCCCCCCC)c(*)s2)cc1CCCCCCCCCCCC,II,1.301029996
36,*/C=C/c1ccc(*)o1,II,1.301029996
37,*Nc1ccc(*)cc1C,CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)O)C(=O)C2,1.301029996
38,*c1cc(C)c(*)[nH]1,CC[N+](CC)(CC)CC,1.209295384
39,*c1sc(*)c2c1OCCO2,CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)O)C(=O)C2,1.176091259
40,*c1ccc(*)o1,F[B-](F)(F)F.[H+],1.150514998
41,*c1cc(CCCCCCCCCCCCCCC)c(*)s1,II,1.079181246
42,*c1cc(CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(*)s1,CCCC[N+](CCCC)(CCCC)CCCC,1.079181246
43,*/C=C/c1cc(OC(C)C)c(*)cc1OC,Cl[Fe](Cl)Cl,1.053078443
44,*c1cc(CCCCCCCCCCCCCCCC)c(-c2cc3sc(-c4sc(*)cc4CCCCCCCCCCCCCCCC)cc3s2)s1,O=C(OC(F)(F)F)C1=C(C(F)(F)F)S[Mo]23(S1)(SC(C(=O)OC(F)(F)F)=C(C(F)(F)F)S2)SC(C(=O)OC(F)(F)F)=C(C(F)(F)F)S3,1.017033339
45,*c1cc(CCCCCCCCCCCCCCCC)c(*)s1,II,0.954242509
46,*c1cc(CCCCCC)c(*)s1,N#CC(C#N)=c1c(F)c(F)c(=C(C#N)C#N)c(F)c1F,0.944606335
47,*c1ccc(*)[nH]1,CCc1ccc(S(=O)(=O)O)cc1,0.94394767
48,*c1sc(*)c2c1OCCO2,Cl[Fe](Cl)Cl,0.896956624
49,*c1sc(*)c2c1OCCO2,CCCC[N+](CCCC)(CCCC)CCCC,0.816792932
50,*c1ccc(*)s1,BrI,0.812450301
51,*c1cc(C(C(=O)OC)C(=O)OC)c(*)s1,Cl[Fe](Cl)Cl,0.77815125
52,*Nc1ccc(*)cc1,CCCCCCCCCCCCCCCc1cccc(OCC(=O)O)c1,0.748188027
53,*c1sc(*)c2c1OCCO2,CCCCCCCCCCCCc1ccc(S(=O)(=O)O)cc1,0.740550397
54,*c1[nH]c(*)c(OC)c1OC,Cc1ccc(S(=O)(=O)O)cc1,0.735205245
55,*c1cc(CCCCCC)c(*)s1,CC[N+](CC)(CC)CC,0.612340648
56,*c1cc(CCCC)c(*)s1,II,0.602059991
57,*c1cc(CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(*)s1,CCCC[N+](CCCC)(CCCC)CCCC,0.602059991
58,*c1cc(C)c(*)s1,Cl[Fe](Cl)Cl,0.59767303
59,*/C=C/c1cc(OC)c(*)cc1C,II,0.556302501
60,*c1cc(C)c(*)[nH]1,CCCC[N+](CCCC)(CCCC)CCCC,0.531478917
61,*c1ccc2c(c1)c1cc(*)ccc1n2C,II,0.5187675
62,*c1cc(CCCCCCCC)c(*)s1,Cl[Fe](Cl)Cl,0.495044129
63,*c1cc(C)c(*)s1,F[Sb-](F)(F)(F)(F)F.N#[O+],0.477121255
64,*c1cc(C)c(*)s1,II,0.477121255
65,*c1sc(*)c(OCCCCCCCCCCCCCC)c1C,II,0.439260898
66,*/C=C/c1ccc(*)cc1,Cl[Fe](Cl)Cl,0.431562208
67,*c1ccc(*)s1,O=S(=O)(O)Cl,0.414973348
68,*c1cc(CCCCCC)c(*)s1,F[P-](F)(F)(F)(F)F.N#[O+],0.413037402
69,*c1ccc(*)s1,F[B-](F)(F)F.[H+],0.401373328
70,*c1ccc(*)[nH]1,O=S(=O)(O)c1cc(O)c(O)c(S(=O)(=O)O)c1,0.397940009
71,*c1cc(CCCCCCCCCCCCCC)c(-c2cc3sc(-c4sc(*)cc4CCCCCCCCCCCCCC)cc3s2)s1,N#CC(C#N)=c1c(F)c(F)c(=C(C#N)C#N)c(F)c1F,0.305936073
72,*c1sc(*)c(OCCCCCCCCCCCC)c1C,II,0.302285812
73,*c1ccc(*)[nH]1,O=S(=O)(O)O,0.301738067
74,*c1cc(CCCCCCCCCCCCCCCCC)c(*)s1,II,0.301029996
75,*/C=C/c1cc(CCCCCCCCCCCC)c(*)s1,II,0.301029996
76,*/C=C/c1cc(OCCCCCCCCCCCC)c(*)s1,N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O,0.301029996
77,*c1sc(*)c(OCCCCCCCCCC)c1C,II,0.298056528
78,*/C=C/c1cc(OC)c(*)cc1C,Cl[Fe](Cl)Cl,0.292617532
79,*c1sc(*)c(OCCCCCCCCCCCCCCCC)c1C,II,0.278151251
80,*c1ccc(*)[nH]1,O=P(O)(O)O,0.230448921
81,*c1cc(CCCCCCCC)c(*)[nH]1,CC[N+](CC)(CC)CC,0.20715081
82,*c1ccc(*)s1,CCCC[N+](CCCC)(CCCC)CCCC,0.198010328
83,*c1cc(C)c(*)s1,[O-][Cl+3]([O-])([O-])O,0.17881694
84,*c1cc(CCOC(=O)NCCCC)c(*)s1,O=S(=O)(O)O,0.146128036
85,*c1ccc(*)[nH]1,C=CS(=O)(=O)O,0.146128036
86,*c1sc(*)c(OCCCCCCCCCCCCCCCCCCCC)c1C,II,0.13990189
87,*/C=C/c1cc(OC)c(*)cc1OC,O=S(=O)(O)O,0.113251151
88,*c1ccc(*)[nH]1,O=S(=O)(O)c1ccc(O)cc1,0.041392685
89,*c1ccc2[nH]c3ccc(*)cc3c2c1,II,0.0
90,*Nc1ccc(*)cc1CC,CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)O)C(=O)C2,0.0
91,*Nc1ccc(*)cc1OCCCCS(=O)(=O)O,Cl,0.0
92,*Nc1ccc(*)cc1Cl,[O-][Cl+3]([O-])([O-])O,-0.075720714
93,*C=C*,CCCC[P+](CCCC)(CCCC)CCCC,-0.111286891
94,*c1cc(CCCCCCCCCCCC)c(*)s1,II,-0.124495709
95,*/C=C/c1cc(OC(C)C)c(*)cc1OC,II,-0.127814387
96,*c1ccc(*)[nH]1,O=S(=O)(O)c1ccc2ccccc2c1,-0.135549684
97,*C=C*,[Li+].[O-][Cl+3]([O-])([O-])[O-],-0.138078667
98,*C=Cc1ccc(-c2ccc(*)s2)s1,F[B-](F)(F)F.[H+],-0.153664651
99,*/C=C/c1ccc(*)s1,II,-0.161034695
100,*c1cc(CCCCCC)c(*)s1,II,-0.197434435
101,*c1cc(CCOC(=O)NCCCC)c(*)s1,Cl[Fe](Cl)Cl,-0.22184875
102,*c1cc(SC)c(*)s1,II,-0.301029996
103,*c1sc(*)c(C)c1C,F[Sb-](F)(F)(F)(F)F.N#[O+],-0.301029996
104,*c1cc2c(s1)-c1sc(*)cc1C2=C(C#N)C#N,CCCC[N+](CCCC)(CCCC)CCCC,-0.301029996
105,*c1cc(C)c(*)s1,CC[N+](CC)(CC)CC,-0.321657892
106,*/C=C/c1ccc(*)cc1,O=S(=O)(O)O,-0.349485003
107,*c1cc2c(s1)-c1sc(*)cc1C2(CCCCCCCC)CCCCCCCC,N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O,-0.394599018
108,*/C(OC)=C(\OC)c1ccc(*)s1,II,-0.397940009
109,*c1ccc(*)s1,Cl[Fe](Cl)Cl,-0.435732288
110,*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,C1CSC2=C(S1)SC(=C1SC3=C(SCCS3)S1)S2,-0.453908148
111,*c1cc2c(s1)-c1sc(*)cc1C2(CCCCCCCC)CCCCCCCC,II,-0.455931956
112,*/C=C/c1sc(*)c2c1OC(CCCCCC)CO2,N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O,-0.455931956
113,*c1ccc(*)[nH]1,O.[Fe+3].[O-][Cl+3]([O-])([O-])[O-].[O-][Cl+3]([O-])([O-])[O-].[O-][Cl+3]([O-])([O-])[O-],-0.460409377
114,*Nc1ccc(*)cc1C,O=S(=O)(O)O,-0.463254209
115,*c1ccc(-c2ccc(-c3cc(CCCCCCCC)c(*)s3)s2)s1,[Li+].[O-][Cl+3]([O-])([O-])[O-],-0.490961963
116,*Nc1cc(OC)c(*)cc1OC,Cl,-0.522878745
117,*Nc1ccc(*)cc1Br,[O-][Cl+3]([O-])([O-])O,-0.568636236
118,*Nc1ccc(*)cc1OC,O=S(=O)(O)O,-0.636818797
119,*Nc1c([2H])c([2H])c(*)c([2H])c1[2H],CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)O)C(=O)C2,-0.657577319
120,*c1cc(CCCCCCCCCCCCCCCC)c(*)s1,Cl[Fe](Cl)Cl,-0.66488167
121,*/C=C/c1sc(*)c(OCCCC)c1OCCCC,N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O,-0.698970004
122,*c1ccc(*)[nH]1,O=C(O)c1cc2ccccc2c(N=Nc2c(O)cc(S(=O)(=O)O)c3ccccc23)c1O,-0.761439373
123,*c1ccc(*)[nH]1,[Li+].[O-][Cl+3]([O-])([O-])[O-],-0.819411697
124,*/C=C/c1ccc(*)n1CCCCCC,Cl[Fe](Cl)Cl,-0.823908741
125,*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)n4CCCCCCCCCCCC)s3)s2)s1,II,-0.89279003
126,*c1ccc(-c2c3nc(CCCCCC)sc3c(*)c3nc(CCCCCC)sc23)s1,II,-0.89279003
127,*Nc1cc(OCC)c(*)cc1OCC,Cl,-0.934833116
128,*/C=C/c1ccc(*)n1CCCCCCCCCCCC,Cl[Fe](Cl)Cl,-0.958607315
129,*c1ccc(-c2c3nc(CCCCCC)sc3c(*)c3nc(CCCCCC)sc23)s1,Cl[Fe](Cl)Cl,-0.995678626
130,*=CC1=CC(=*)[Si]1(CCCC)CCCC,II,-1.0
131,*/C=C/c1cc(CCCCCC)c(-c2sc(*)cc2CCCCCC)s1,II,-1.0
132,*c1cc(CCCCCCCCCCCCCCCCCCC)c(*)s1,II,-1.0
133,*c1cc(CCCC)c(*)s1,F[Sb-](F)(F)(F)(F)F.N#[O+],-1.0
134,*/C=C/c1cc(CCCCCC)c(-c2sc(*)cc2CCCCCC)s1,Cl[Fe](Cl)Cl,-1.0
135,*/N=C1\C=CC(*)C=C1C,Cl,-1.0
136,*Nc1ccc(-c2ccc(*)cc2)cc1,O=S(=O)(O)O,-1.024494041
137,*c1csc(*)c1,CCCC[N+](CCCC)(CCCC)CCCC,-1.060480747
138,*Nc1ccc(*)cc1,O=[N+]([O-])O,-1.063989204
139,*c1cc(CCCCCCCCCCCC)c(*)s1,Cl[Fe](Cl)Cl,-1.074718877
140,*c1ccc2ccc3c(*)cc(C#C)c4ccc1c2c34,CC[N+](CC)(CC)CC,-1.075720714
141,*c1cc(CCOC(=O)NCCCC)c(*)s1,II,-1.096910013
142,*Nc1ccc(*)cc1,O=P(O)(O)O,-1.100739022
143,*c1ccc(*)s1,[O-][Cl+3]([O-])([O-])O,-1.105087106
144,*Nc1ccc(*)cc1OC,CCCCCCCCCCCCc1ccc(S(=O)(=O)O)cc1,-1.118615343
145,*c1cc(CCCCCCCCCC)c(*)[nH]1,Cc1ccc(S(=O)(=O)O)cc1,-1.131403679
146,*Nc1ccc(*)cc1,O=C(O)C(=O)O,-1.14327111
147,*/C=C/c1sc(*)c(OCCCCCCCCCCCC)c1OCCCCCCCCCCCC,N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O,-1.15490196
148,*Nc1ccc(*)cc1C,NS(=O)(=O)O,-1.163675884
149,*c1cc(CCN(CC)c2ccc(N=Nc3ccc(C=C(C#N)C#N)cc3)cc2)c(*)s1,Cl[Fe](Cl)Cl,-1.167491087
150,*Nc1ccc(*)cc1C,O=C(O)c1cc(S(=O)(=O)O)ccc1O,-1.218963061
151,*c1ccc(*)[nH]1,CCCC[N+](CCCC)(CCCC)CCCC,-1.27781476
152,*Nc1ccc(*)cc1C,Cl,-1.278189385
153,*c1ccc(*)[nH]1,CCCCCCCCCCCCc1ccc(S(=O)(=O)O)cc1,-1.317777509
154,*c1ccc2ccc3c(*)cc(C#CC#C[Si](C)(C)C)c4ccc1c2c34,CC[N+](CC)(CC)CC,-1.337242168
155,*c1ccc(*)[nH]1,CC[N+](CC)(CC)CC,-1.341501337
156,*c1sc(*)c(OCCCCCC)c1C,II,-1.349485003
157,*c1ccc(*)[nH]1,[O-][Cl+3]([O-])([O-])O,-1.382277665
158,*Nc1ccc(*)cc1C,O=[N+]([O-])O,-1.382999659
159,*c1ccc(*)[nH]1,Cc1ccc(S(=O)(=O)O)cc1,-1.397692235
160,*=C1SC2=C(S1)SC(=C(C(=*)c1cccs1)c1cccs1)S2,CCCC[N+](CCCC)(CCCC)CCCC,-1.397940009
161,*Nc1ccc(*)cc1OC,NS(=O)(=O)O,-1.403402904
162,*Nc1ccc(*)cc1C,O=P(O)(O)O,-1.40560745
163,*Nc1ccc(*)cc1C,[O-][Cl+3]([O-])([O-])O,-1.42945706
164,*Nc1ccc(*)cc1,[O-][Cl+3]([O-])([O-])O,-1.4317317
165,*Nc1ccc(*)cc1OC,O=C(O)c1cc(S(=O)(=O)O)ccc1O,-1.485452247
166,*Nc1ccc(*)cc1OC,O=C(O)c1ccc(S(=O)(=O)O)cc1O,-1.485452247
167,*Nc1ccc(*)cc1C,O=C(O)C(=O)O,-1.488116639
168,*c1cc(CCCCCC)c(*)s1,Cl[Fe](Cl)Cl,-1.502509308
169,*c1ccc(*)n1C,CC[N+](CC)(CC)CC,-1.522878745
170,*Nc1ccc(*)cc1,CS(=O)(=O)O,-1.527758664
171,*/C=C/c1cc(OCCCC)c(*)cc1OC,II,-1.596560927
172,*c1ccc(-c2ccc(-c3sc4c(sc5c6sc(*)c(CCCCCCCCCCCCCCCCC)c6sc45)c3CCCCCCCCCCCCCCCCC)s2)s1,N#CC(C#N)=c1c(F)c(F)c(=C(C#N)C#N)c(F)c1F,-1.666666665
173,*c1ccc2ccc3c(*)cc(C#CC=C)c4ccc1c2c34,CC[N+](CC)(CC)CC,-1.677780705
174,*c1cc(CCCCCCCCCCCC(=O)Oc2ccc([N+](=O)[O-])cc2)c(*)s1,CCCC[N+](CCCC)(CCCC)CCCC,-1.698970004
175,*c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(*)n5CCCCCCCCCCCC)s4)s3)s2)s1,II,-1.716698771
176,*c1ccc(*)n1C,II,-1.793174124
177,*C=Cc1ccc(*)cc1,Cl[Fe](Cl)Cl,-1.799143929
178,*CCc1ccc(*)n1CCCC,II,-1.823908741
179,*c1cc(CCCCCC)c(*)s1,[O-][Cl+3]([O-])([O-])O,-1.838890353
180,*c1cc(CCCCCCCCCCCC)c(*)s1,[O-][Cl+3]([O-])([O-])O,-1.886056648
181,*Nc1ccc(*)cc1OC,O=[N+]([O-])O,-1.88941029
182,*[Si](*)(CCCCCC)CCCCCCn1cccc1,II,-1.894834318
183,*Nc1ccc(*)cc1,O=S(=O)(O)O,-1.898710956
184,*Nc1ccc(*)cc1OC,O=P(O)(O)O,-1.91721463
185,*/C(C)=C(\C)c1ccc(-c2ccc(*)s2)s1,[O-][Cl+3]([O-])([O-])O,-1.920818754
186,*c1ccc(*)s1,II,-1.943280609
187,*Nc1ccc(*)cc1OC,[O-][Cl+3]([O-])([O-])O,-1.954677021
188,*Nc1ccc(*)cc1OC,CCS(=O)(=O)O,-1.982966661
189,*Sc1ccc(Nc2ccc(Nc3ccc(Nc4ccc(Nc5ccc(*)cc5)cc4)cc3)cc2)cc1,II,-2.0
190,*c1cc2cccccc-2c1*,[O-][Cl+3]([O-])([O-])O,-2.0
191,*[Si](*)(C)CCCc1ccc(N(C)C)cc1,II,-2.0
192,*c1ccc(*)cc1,F[B-](F)(F)F.[H+],-2.0
193,*=CC=NN=*,II,-2.0
194,*c1cc(CCCC)c(*)s1,Cl[Fe](Cl)Cl,-2.046117043
195,*c1ccc(N(*)CC)cc1,O=S(=O)(O)c1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)cc2c1,-2.060480747
196,*Nc1ccc(*)cc1OC,O=C(O)C(=O)O,-2.075720714
197,*c1cc(CCCCCCCCCCCC(=O)Oc2c(F)c(F)c(F)c(F)c2F)c(*)s1,CCCC[N+](CCCC)(CCCC)CCCC,-2.096910013
198,*Nc1ccc(*)cc1OC,Cl,-2.117869522
199,*c1ccc(*)n1C,[O-][Cl+3]([O-])([O-])O,-2.214670165
