SN,Polymer_SMILES,Dopant_SMILES,log10 of electrical_conductivity (S/cm)
200,*c1ccc2[nH]c3ccc(*)cc3c2c1,CCCC[N+](CCCC)(CCCC)CCCC,-2.26760624
201,*=C1SC2=C(S1)SC(=C(C(=*)c1ccccc1)c1ccccc1)S2,CCCC[N+](CCCC)(CCCC)CCCC,-2.301029996
202,*C1=NC2=CC(*)C=CC2=C1,[O-][Cl+3]([O-])([O-])O,-2.301029996
203,*/C=C/c1cc2c(cc1CCCCCC)c1cc(CCCCCC)c(*)cc1n2CCCCCCCC,Cl[Fe](Cl)Cl,-2.301029996
204,*c1ccc(*)[nH]1,F[B-](F)(F)F.[H+],-2.358512318
205,*c1cc(CCN(CC)c2ccc(N=Nc3ccc(C=C(C#N)C#N)cc3)cc2)c(*)s1,II,-2.48148606
206,*Nc1ccc(*)cc1OCC,Cl,-2.498916969
207,*c1cc(CCCCCCCCCCCC(=O)ON2C(=O)CCC2=O)c(*)s1,CCCC[N+](CCCC)(CCCC)CCCC,-2.522878745
208,*[Si](*)(C)CCCN(C)c1ccccc1,II,-2.522878745
209,*Nc1ccc(*)cc1,CCc1ccc(S(=O)(=O)O)cc1,-2.587940458
210,*C=Cc1ccc(*)cc1,II,-2.602059991
211,*Nc1ccc(*)cc1,CCCC[N+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,-2.626224464
212,*c1ccc(*)[nH]1,Cl[Fe](Cl)Cl,-2.654545353
213,*c1cn(*)c2ccccc12,[Li+].[O-][Cl+3]([O-])([O-])[O-],-2.663951071
214,*Nc1ccc(*)cc1,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,-2.674742501
215,*c1cc(-c2ccc(OCCCC)cc2)c(*)s1,II,-2.681936665
216,*Nc1ccc(*)cc1CO,Cl,-2.685805535
217,*Nc1ccc(*)cc1,Cl,-2.686534887
218,*=Cc1ccc(-c2ccc(C=c3sc(=*)s3)cc2)cc1,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,-2.698970004
219,*/C=C/c1cc(OCCCCCCOc2ccc(C3CCC(CCCCC)CC3)cc2)c(*)cc1OCCCCCCOc1ccc(C2CCC(CCCCC)CC2)cc1,II,-2.698970004
220,*c1ccc(*)n1C,CCS(=O)(=O)O,-2.72104198
221,*=Cc1ccc(C=c2sc(=*)s2)cc1,II,-2.744727495
222,*Nc1ccc(*)cc1,CCCCCCCCCCCCc1ccc(S(=O)(=O)O)cc1,-2.747046197
223,*Nc1ccc(*)cc1OC,Cc1ccc(S(=O)(=O)O)cc1,-2.781475869
224,*/C=C/c1cc(OC)c(*)cc1OC,F[B-](F)(F)F.[H+],-2.795880017
225,*c1ccc(N(*)C)cc1,O=S(=O)(O)c1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)cc2c1,-2.795880017
226,*/C=C/c1cc(OC)c(*)cc1OC,Cl[Fe](Cl)Cl,-2.795880017
227,*Nc1ccc(*)cc1,CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)O)C(=O)C2,-2.872311508
228,*c1ccc(*)n1C,Cc1ccc(S(=O)(=O)O)cc1,-2.917155312
229,*CC(C)(C)C1CC=C(*)CC1,II,-2.944035196
230,*CC(*)C#N,II,-2.969871066
231,*=Cc1ccc(C2=CSC(=*)S2)cc1,II,-3.0
232,*c1sc(*)c(OCCOCCCC)c1C,CCCC[N+](CCCC)(CCCC)CCCC,-3.0
233,*[Si](*)(C)CCCn1c2ccccc2c2ccccc21,II,-3.0
234,*c1cc(CCCc2ccccc2)c(*)s1,II,-3.0
235,*/C=c1\cc/c(=c2/cc/c(=C\c3ccc(*)s3)s2)s1,II,-3.0
236,*[Si](*)(C)c1ccc(N(C)C)cc1,II,-3.0
237,*C#Cc1sc(-c2sc(*)c3c2OCCO3)c2c1OCCO2,CC[N+](CC)(CC)CC,-3.0
238,*c1ccc(*)n1C,CCCC[N+](CCCC)(CCCC)CCCC,-3.0
239,*=Cc1cc(C)c(C2=CSC(=*)S2)cc1C,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,-3.045757491
240,*c1ccc2[nH]c3ccc(*)cc3c2c1,CC[N+](CC)(CC)CC,-3.075720714
241,*/C=C/c1ccc(*)c(OCCCOc2ccc(/C=C/c3ccc([N+](=O)[O-])cc3)cc2)c1,Cl[Fe](Cl)Cl,-3.075720714
242,*/C=C1/C=C(*)C[N+](CCCCCC)(CCCCS(=O)(=O)O)C1,II,-3.096910013
243,*/C=C1/C=C(*)C[N+](CC)(CCCCS(=O)(=O)O)C1,II,-3.096910013
244,*/C=C1/C=C(*)C[N+](CCCCCCCC)(CCCCS(=O)(=O)O)C1,II,-3.096910013
245,*/C=C1/C=C(*)C[N+](CCCC)(CCCCS(=O)(=O)O)C1,II,-3.096910013
246,*C=C(*)C#CCCCCCCCCCCCCCCCCCCCCC(=O)O,II,-3.150514998
247,*c1ccc(*)s1,[Li+].[O-][Cl+3]([O-])([O-])[O-],-3.187086643
248,*[Si](*)(C)CCCN(C)c1ccccc1,Cl[Fe](Cl)Cl,-3.301029996
249,*c1ccc(*)n1CCC(=O)OC(C)C(=O)OCC,CCCC[N+](CCCC)(CCCC)CCCC,-3.339031961
250,*c1cc(CCCCCC)c(*)s1,CCCCCCCCCCCCc1ccc(S(=O)(=O)O)cc1,-3.392300606
251,*/C=C/C(C)=C(C)/C=C/c1ccc(-c2ccc(*)s2)s1,[O-][Cl+3]([O-])([O-])O,-3.397940009
252,*[Si](*)(C)c1ccc(N(C)C)cc1,Cl[Fe](Cl)Cl,-3.397940009
253,*=Cc1cc(OCCCCCCCCCCCC)c(/C=N/c2ccc(N=*)cc2)cc1OCCCCCCCCCCCC,II,-3.457711861
254,*c1c2ccccc2c(*)n1C,II,-3.510681526
255,*c1ccc(*)cc1,Cl[Fe](Cl)Cl,-3.512284096
256,*Nc1ccc(*)cc1,CC(CCC(=O)O)(c1ccc(O)cc1)c1ccc(O)cc1,-3.562824529
257,*Nc1ccc(*)cc1OC,O=S(=O)(O)c1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)cc2c1,-3.619788758
258,*c1ccc(-c2ccc(-c3ccc(*)n3C(C)c3ccccc3)s2)s1,[Li+].[O-][Cl+3]([O-])([O-])[O-],-3.619788758
259,*c1ccc2c(c1)c1cc(*)ccc1n2C=C,CC[N+](CC)(CC)CC,-3.619788758
260,*c1cc(CCCCCCCC)c(*)s1,N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O,-3.651023442
261,*/C=C/c1cc(C)c(*)cc1C,II,-3.677780705
262,*=Cc1ccc(C2=CSC(=*)S2)cc1,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,-3.698970004
263,*c1cc(CCCCCCCC)c(*)s1,O=S(=O)(O)O,-3.715206726
264,*c1ccc(*)n1CCC(=O)OC,CCCC[N+](CCCC)(CCCC)CCCC,-3.741002805
265,*C=C(*)CCCCCCOc1ccc(-c2ccc(OC(=O)c3ccc(OCC(F)CCCCCC)cc3)cc2)cc1,II,-3.744727495
266,*CC(*)n1c2ccccc2c2ccccc21,CCCC[N+](CCCC)(CCCC)CCCC,-3.849485002
267,*CC(*)n1c2ccccc2c2ccccc21,[O-][Cl+3]([O-])([O-])O,-3.849485002
268,*c1ccc(-c2ccc(-c3ccc(*)n3-c3c(F)c(F)c(F)c(F)c3F)s2)s1,[Li+].[O-][Cl+3]([O-])([O-])[O-],-3.886056648
269,*Nc1ccc(*)cc1,II,-3.964940401
270,*Nc1ccc(*)cc1,Cc1ccc(S(=O)(=O)O)cc1,-3.971975957
271,*CC(*)C#N,[Li+].[O-][Cl+3]([O-])([O-])[O-],-3.984164888
272,*c1ccc(*)n1C(C)C(=O)OC(C)C(=O)OCC,CCCC[N+](CCCC)(CCCC)CCCC,-3.999728098
273,*[Si](*)(C)CCc1ccc(-c2ccccc2)cc1,Cl[Fe](Cl)Cl,-4.0
274,*C=CC1CCC(*)C1,II,-4.0
275,*c1cc(CCCCCCCCCC)c(*)s1,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,-4.008773924
276,*=Cc1ccc(C=c2sc(=*)s2)cc1,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,-4.022276395
277,*c1ccc(-c2ccc([Si](C)(C)[SiH](C)[Si](*)(C)C)s2)s1,II,-4.065501549
278,*CC/C=C(/*)C,II,-4.118286003
279,*Oc1ccc(C=Cc2ccc(C=Cc3ccc(OC(=O)CCCCCCCCC(*)=O)c(C)c3)cc2)cc1C,II,-4.142667504
280,*/C=C/c1cc(CC(=O)OCCCCCCCCCCOc2ccc(C3CCC(CCCCC)CC3)cc2)c(*)s1,II,-4.156681866
281,*c1ccc(-c2ccc([Si](C)(C)[Si](C)(C=C)[Si](*)(C)C)s2)s1,II,-4.187086643
282,*/C=C/c1cc(COCCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)c(*)s1,II,-4.19636262
283,*Nc1ccc(*)c2ccccc12,CS(=O)(=O)O,-4.200167611
284,*Nc1ccc(*)cc1,O=S(=O)(O)c1ccc2ccccc2c1,-4.200659451
285,*C#Cc1ccc(C#C[Si](CCCC)(CCCC)[Si](*)(CCCC)CCCC)cc1,II,-4.22184875
286,*C#Cc1ccc(C#C[Si](C)(c2ccccc2)[Si](*)(C)c2ccccc2)cc1,II,-4.22184875
287,*C=C(*)CCCCCCCCCCOc1ccc(-c2ccc(OC(=O)c3ccc(OCC(F)CCCCCC)cc3)cc2)cc1,II,-4.27572413
288,*c1ccc([Si](*)(C)c2ccccc2)s1,II,-4.283996656
289,*c1ccc2c(c1)c1cc(*)ccc1n2-c1ccccc1,[O-][Cl+3]([O-])([O-])O,-4.301029996
290,*N=P(*)(OCCOCCOC)OCCOCCOC,[Li+].[O-][Cl+3]([O-])([O-])[O-],-4.316276285
291,*c1ccc2[nH]c(*)nc2c1,O=P(O)(O)O,-4.346787486
292,*Oc1ccc(C=Cc2ccc(C=Cc3ccc(OC(=O)CCCCCCCCC(*)=O)c(C)c3)cc2)cc1C,O=S(=O)(O)O,-4.408935393
293,*c1ccc(*)n1C,F[B-](F)(F)F.[H+],-4.47389717
294,*c1ccc(-c2ccc([Si](*)(C)[Si](C)(C)c3ccccc3)s2)s1,II,-4.508638306
295,*C#Cc1ccc(C#C[Si](C)(c2ccccc2)[Si](*)(C)c2ccccc2)cc1,Cl[Fe](Cl)Cl,-4.548455006
296,*c1ccc(-c2ccc([SiH](*)C)s2)s1,II,-4.602059991
297,*c1ccc(*)n1CC(=O)OC,CCCC[N+](CCCC)(CCCC)CCCC,-4.607691354
298,*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,-4.635556291
299,*[Si](*)(C)CCCn1c2ccccc2c2ccccc21,Cl[Fe](Cl)Cl,-4.698970004
300,*Nc1ccc(-c2ccc(*)cc2)c(C)c1,[Li+].[O-][Cl+3]([O-])([O-])[O-],-4.698970004
301,*c1ccc([Si](C)(c2ccccc2)[Si](*)(C)c2ccccc2)cc1,Cl[Fe](Cl)Cl,-4.726818688
302,*Nc1ccc(*)cc1,C=CC(=O)O,-4.821156973
303,*CCO*,II,-4.823908741
304,*Nc1ccc(*)cc1,[Li+].[O-][Cl+3]([O-])([O-])[O-],-4.85541734
305,*Nc1ccc(*)cc1OCCCCCC,Cl,-4.904834151
306,*c1ccc(-c2nc3cc4nc(*)[nH]c4cc3[nH]2)c(S(=O)(=O)O)c1,O=S1(=O)CCCO1,-4.919767084
307,*c1ccc(*)n1C(C)C(=O)OC,CCCC[N+](CCCC)(CCCC)CCCC,-4.93666822
308,*Nc1ccc(*)cc1,Cl[Fe](Cl)Cl,-4.941302914
309,*c1cc(CC(=O)OCCCCCCCCCCOc2ccc(C3CCC(CCCCC)CC3)cc2)c(*)s1,II,-4.958607315
310,*CC(*)OC(C)=O,[Li+].[O-][Cl+3]([O-])([O-])[O-],-4.98267681
311,*/N=N/c1ccc(-c2ccc(*)c(C)c2)cc1C,II,-5.0
312,*CC(*)(Cl)C#N,II,-5.0
313,*Oc1ccc(/N=N/c2ccc(*)cc2)cc1,II,-5.0
314,*Sc1ccc(/N=N/c2ccc(*)cc2)cc1,II,-5.0
315,*/N=N/c1ccc(*)cc1,II,-5.0
316,*Oc1ccc(/N=N/c2ccc(*)cc2)cc1,[Na+].[c-]1cccc2ccccc12,-5.0
317,*/N=N/c1ccc(/C=C/c2ccc(*)cc2)cc1,[Na+].[c-]1cccc2ccccc12,-5.0
318,*/N=N/c1ccc(/C=C/c2ccc(*)cc2)cc1,II,-5.0
319,*/N=N/c1ccc(*)cc1,[Na+].[c-]1cccc2ccccc12,-5.0
320,*/N=N/c1ccc(-c2ccc(*)c(C)c2)cc1C,[Na+].[c-]1cccc2ccccc12,-5.0
321,*c1ccc(*)c(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)c1,Cl[Fe](Cl)Cl,-5.045757491
322,*[Si](*)(C)CCCc1ccc(N(C)C)cc1,Cl[Fe](Cl)Cl,-5.15490196
323,*Oc1ccc(Oc2ccc(C(C)=Nc3ccc(-c4ccc(N=C(C)c5ccc(*)cc5)cc4)cc3)cc2)cc1,II,-5.187086643
324,*C=Cc1cc(OCC)c(-c2cc(OCC)c(*)cc2OCC)cc1OCC,II,-5.244125144
325,*CCC=C(*)C,II,-5.28213393
326,*c1ccc2c(c1)c1cc(*)ccc1n2CC,[O-][Cl+3]([O-])([O-])O,-5.301029996
327,*=Cc1cc(OCCCCCCCCCCCC)c(C2=CSC(=*)S2)cc1OCCCCCCCCCCCC,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,-5.397940009
328,*Oc1ccc(Oc2ccc(C(C)=Nc3ccc(Cc4ccc(N=C(C)c5ccc(*)cc5)cc4)cc3)cc2)cc1,II,-5.420216403
329,*[Si](*)(C)CCc1ccc(-c2ccccc2)cc1,II,-5.522878745
330,*Oc1ccc(Oc2ccc(C(C)=Nc3ccc(Oc4ccc(N=C(C)c5ccc(*)cc5)cc4)cc3)cc2)cc1,II,-5.657577319
331,*CC(*)C1=NCCN1,[Li+].[O-][Cl+3]([O-])([O-])[O-],-5.683795545
332,*Nc1ccc(-c2ccc(*)cc2)c(OC)c1,[Li+].[O-][Cl+3]([O-])([O-])[O-],-5.698970004
333,*c1ccc([Si](CCCC)(CCCC)[Si](*)(CCCC)CCCC)cc1,Cl[Fe](Cl)Cl,-5.698970004
334,*c1ccc([Si](CCCC)(CCCC)[Si](*)(CCCC)CCCC)cc1,II,-5.698970004
335,*CC(*)Cl,[Li+].[O-][Cl+3]([O-])([O-])[O-],-5.99240051
336,*CC(*)c1ccncc1,II,-6.0
337,*Nc1ccc(*)cc1C(C)C,CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)O)C(=O)C2,-6.0
338,*C#Cc1ccc(C#C[Si](CCCC)(CCCC)[Si](*)(CCCC)CCCC)cc1,Cl[Fe](Cl)Cl,-6.0
339,*Nc1ccc(*)cc1C(C)CC,CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)O)C(=O)C2,-6.0
340,*c1ccc([Si](C)(c2ccccc2)[Si](*)(C)c2ccccc2)cc1,II,-6.0
341,*CC(*)O,CC(=O)[O-].[NH4+],-6.032615545
342,*[Si](*)(CCCCCC)CCCCCC,II,-6.045757491
343,*[Si](*)(Cc1ccccc1)Cc1ccccc1,II,-6.045757491
344,*C#C[Si](C)(c1ccccc1)[Si](*)(C)c1ccccc1,Cl[Fe](Cl)Cl,-6.048455006
345,*c1cc(-c2ccc(OCCCC)cc2)c(*)s1,Cl[Fe](Cl)Cl,-6.096910013
346,*[Si](*)(Cc1ccccc1)Cc1ccccc1,Cl[Fe](Cl)Cl,-6.096910013
347,*=C=C=C(CCCCOC(=O)NCC(=O)OCCCC)C(=*)CCCCOC(=O)NCC(=O)OCCCC,II,-6.103985074
348,*C=C(*)CCCCCCCCCCOc1ccc(-c2ccc(OCC(F)CCCCCC)cc2)cc1,II,-6.167491087
349,*CC(*)(C)C(=O)OCCOCCOC,[Li+].[O-][Cl+3]([O-])([O-])[O-],-6.210744736
350,*CC(C)O*,[Li+].[O-][Cl+3]([O-])([O-])[O-],-6.301029996
351,*[Si](*)(CCCCCCCC)CCCCCCCC,II,-6.397940009
352,*C=C(*)CCCCCCCCCCOc1ccc(-c2ccc(OCCCCCCCC)cc2)cc1,II,-6.455931956
353,*Nc1ccc(*)cc1OCC,c12c3c4c5c1c1c6c7c2c2c8c3c3c9c4c4c%10c5c5c1c1c6c6c%11c7c2c2c7c8c3c3c8c9c4c4c9c%10c5c5c1c1c6c6c%11c2c2c7c3c3c8c4c4c9c5c1c1c6c2c3c41,-6.522878745
354,*c1cc(-c2ccc(OCCCCCCCC)cc2)c(*)s1,Cl[Fe](Cl)Cl,-6.606695264
355,*CCO*,C[N+](C)(C)C,-6.607303047
356,*CCO*,NI,-6.673482123
357,*CCO*,[Mg+2].[O-][Cl+3]([O-])([O-])[O-].[O-][Cl+3]([O-])([O-])[O-],-6.722091486
358,*CCO*,[Li+].[O-][Cl+3]([O-])([O-])[O-],-6.863071815
359,*[Si](*)(C)c1ccccc1,II,-6.86735333
360,*CC(*)n1c2ccccc2c2ccccc21,[Li+].[O-][Cl+3]([O-])([O-])[O-],-6.872895202
361,*CC(*)(C)C(=O)OC,O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,-6.889018292
362,*Nc1ccc(*)cc1,c12c3c4c5c1c1c6c7c2c2c8c3c3c9c4c4c%10c5c5c1c1c6c6c%11c7c2c2c7c8c3c3c8c9c4c4c9c%10c5c5c1c1c6c6c%11c2c2c7c3c3c8c4c4c9c5c1c1c6c2c3c41,-6.931960006
363,*[Si](*)(CCCCCC)CCCCCC,Cl[Fe](Cl)Cl,-7.0
364,*[Si](*)(CCCCCCCC)CCCCCCCC,Cl[Fe](Cl)Cl,-7.0
365,*Nc1ccc(*)cc1OCCCCCCCCCCOc1ccc(C2CCC(CCCCC)CC2)cc1,[O-][Cl+3]([O-])([O-])O,-7.094383286
366,*CCOC(=O)O*,[Li+].[O-][Cl+3]([O-])([O-])[O-],-7.112890044
367,*c1cccc(-c2nc3cc(-c4ccc5c(c4)nc(*)n5C)ccc3[nH]2)c1,O=P(O)(O)O,-7.123424827
368,*CC(*)N1CCCC1=O,O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,-7.23405936
369,*Oc1ccc(Oc2ccc(C(C)=NCCCCCCN=C(C)c3ccc(*)cc3)cc2)cc1,II,-7.346787486
370,*CC1CC(*)OC(CCC)O1,[Li+].[O-][Cl+3]([O-])([O-])[O-],-7.378163786
371,*C=C(*)CCCOc1ccc(C2CCC(CCCCC)CC2)cc1,II,-7.383264023
372,*[Si](*)(CCCC)CCCC,II,-7.397940009
373,*CC(*)O,O=C(O)CCl,-7.400553222
374,*C=C(*)CCCOc1ccc(-c2ccc(CCCCC)cc2)cc1,II,-7.516115705
375,*[Si](*)(C)c1ccccc1,Cl[Fe](Cl)Cl,-7.610924375
376,*c1ccc(C(c2ccccc2)c2ccc(N(*)c3ccc(C)cc3)cc2)cc1,CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)O)C(=O)C2,-7.619569013
377,*C#C[Si](C)(c1ccccc1)[Si](*)(C)c1ccccc1,II,-7.698970004
378,*C#C[Si](CCCC)(CCCC)[Si](*)(CCCC)CCCC,II,-7.698970004
379,*CC(*)(C)C(=O)OCC,O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,-7.851886967
380,*CC(*)O,O=P(O)(O)O,-7.919885131
381,*Nc1ccc(*)cc1CC,c12c3c4c5c1c1c6c7c2c2c8c3c3c9c4c4c%10c5c5c1c1c6c6c%11c7c2c2c7c8c3c3c8c9c4c4c9c%10c5c5c1c1c6c6c%11c2c2c7c3c3c8c4c4c9c5c1c1c6c2c3c41,-7.930161662
382,*Oc1ccc(Oc2ccc(C(C)=NCCCN=C(C)c3ccc(*)cc3)cc2)cc1,II,-7.958607315
383,*CC(*)O,[Li+].[O-][Cl+3]([O-])([O-])[O-],-7.980096169
384,*Cc1ccc(-c2ccc(C[Si](*)(C)C)cc2)cc1,Cc1ccccc1,-8.602059991
385,*Oc1ccc(Oc2ccc(C(C)=Nc3ccccc3N=C(C)c3ccc(*)cc3)cc2)cc1,II,-8.602059991
386,*Cc1ccc(-c2ccc(C[Si](*)(CCCC)c3ccccc3)cc2)cc1,Cc1ccccc1,-8.698970004
387,*OC1C(CO)OC(*)C(N)C1O,CCCCCCCCC=CCCCCCCCC(=O)O,-8.806209686
388,*CC(*)(C)C(=O)OC,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,-8.829142459
389,*CC(*)c1ccccn1,[O-][Cl+3]([O-])([O-])[O-].[O-][Cl+3]([O-])([O-])[O-].[Zn+2],-9.644206609
390,*[Si](*)(CCCC)CCCC,Cl[Fe](Cl)Cl,-9.698970004
391,*CC(*)c1ccncc1,[O-][Cl+3]([O-])([O-])[O-].[O-][Cl+3]([O-])([O-])[O-].[Zn+2],-9.907429395
392,*C#C[Si](CCCC)(CCCC)[Si](*)(CCCC)CCCC,Cl[Fe](Cl)Cl,-10.0
393,*CC(*)(C)C(=O)OCCCC,O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,-10.19232392
394,*CC1CC(*)OC(CCC)O1,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,-10.33333333
395,*Sc1ccc(*)cc1,N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O,-10.53657165
396,*O[Si](*)(C)CCCCCOc1ccc(C=Cc2ccc(OC)cc2)cc1,II,-11.0
397,*Sc1ccc(*)cc1,II,-11.72524175
398,*Sc1ccc(*)cc1,N#CC(C#N)=C(C#N)C#N,-11.88507162
